fight_url,winner
http://ufcstats.com/fight-details/70f1621080b3435c,Sean Strickland
http://ufcstats.com/fight-details/c85b530861145935,Joshua Van
http://ufcstats.com/fight-details/22ba4f1b0aafbf82,Alexander Volkov
http://ufcstats.com/fight-details/845b8653f9cf839c,Sean Brady
http://ufcstats.com/fight-details/1158a27a1a04b971,King Green
http://ufcstats.com/fight-details/770c5302e32916ea,Ateba Gautier
http://ufcstats.com/fight-details/f88dc6e0c29cff1d,Yaroslav Amosov
http://ufcstats.com/fight-details/ffcb47e17eebe6a6,Grant Dawson
http://ufcstats.com/fight-details/e50857173607d631,Jim Miller
http://ufcstats.com/fight-details/9d35723a53749931,Roman Kopylov
http://ufcstats.com/fight-details/303018d7459323b4,Pat Sabatini
http://ufcstats.com/fight-details/1f5d0b106385b2ac,Baisangur Susurkaev
http://ufcstats.com/fight-details/e92d89cb2d69235e,Jose Ochoa
http://ufcstats.com/fight-details/eb6d9fef6c374830,Carlos Prates
http://ufcstats.com/fight-details/5c7c38dece435cde,Quillan Salkilld
http://ufcstats.com/fight-details/afec383a96893ec5,Steve Erceg
http://ufcstats.com/fight-details/cfc884a249141cba,Marwan Rahiki
http://ufcstats.com/fight-details/a564219e7a964aa6,Brando Pericic
http://ufcstats.com/fight-details/2afaa97901d5587c,Louie Sutherland
http://ufcstats.com/fight-details/46181797eb543a0b,Cam Rowston
http://ufcstats.com/fight-details/1cb0711cd49dd95e,Junior Tafa
http://ufcstats.com/fight-details/edff38661bf2866b,Jacob Malkoun
http://ufcstats.com/fight-details/00bde62cac38e5e9,Colby Thicknesse
http://ufcstats.com/fight-details/827c64369b374989,Wes Schultz
http://ufcstats.com/fight-details/7ac4ae301ed699ab,Jonathan Micallef
http://ufcstats.com/fight-details/610a640a0cd81ce5,Kody Steele
http://ufcstats.com/fight-details/f524e42c36028de0,Aljamain Sterling
http://ufcstats.com/fight-details/cb745968bd16bf56,Joselyne Edwards
http://ufcstats.com/fight-details/84951374e4cdc679,Rafa Garcia
http://ufcstats.com/fight-details/f5aff2f858311fbc,Davey Grant
http://ufcstats.com/fight-details/348de8e364ecf041,Raoni Barcelos
http://ufcstats.com/fight-details/7e551ddb1494a45f,Ryan Spann
http://ufcstats.com/fight-details/67f24cf244134661,Eric McConico
http://ufcstats.com/fight-details/ef1cd6371a3f18e0,Jackson McVey
http://ufcstats.com/fight-details/dcfd594b68ff5ae1,Michelle Montague
http://ufcstats.com/fight-details/d421f3cd158fd055,Cody Durden
http://ufcstats.com/fight-details/c7fb90f1355291e4,Francis Marshall
http://ufcstats.com/fight-details/2e7f8d0ad385876d,Victor Valenzuela
http://ufcstats.com/fight-details/0df4f4ac27cf2d26,Talita Alencar
http://ufcstats.com/fight-details/32054bf2b36b0e47,Mike Malott
http://ufcstats.com/fight-details/b5299e5b946015e5,Charles Jourdain
http://ufcstats.com/fight-details/e644218737c1a778,Jai Herbert
http://ufcstats.com/fight-details/5a209522211d7530,Jasmine Jasudavicius
http://ufcstats.com/fight-details/a661c0bee7c8d5af,Gauge Young
http://ufcstats.com/fight-details/678440bd8274a18e,Marcio Barbosa
http://ufcstats.com/fight-details/9fab4b0ad082f670,Robert Valentin
http://ufcstats.com/fight-details/85c7a0f44aa3e10a,Gokhan Saricam
http://ufcstats.com/fight-details/bae4de7ef8c0769e,Melissa Croden
http://ufcstats.com/fight-details/0b6c13ab8ad7f82b,JJ Aldrich
http://ufcstats.com/fight-details/552f7cdaf93e1055,
http://ufcstats.com/fight-details/32087c183dffcae0,John Yannis
http://ufcstats.com/fight-details/a031f062b7ffefee,Carlos Ulberg
http://ufcstats.com/fight-details/aade9d76ac6c6aef,Paulo Costa
http://ufcstats.com/fight-details/903552edaba48f4a,Josh Hokit
http://ufcstats.com/fight-details/c4d060cff018979a,Dominick Reyes
http://ufcstats.com/fight-details/60949f33201415ca,Cub Swanson
http://ufcstats.com/fight-details/10ab34056720b6b4,Aaron Pico
http://ufcstats.com/fight-details/b4e16fb13153efdc,Kevin Holland
http://ufcstats.com/fight-details/62b5ce408c150fa8,Mateusz Gamrot
http://ufcstats.com/fight-details/f506977877074aa6,Tatiana Suarez
http://ufcstats.com/fight-details/81d20c833e9a76eb,
http://ufcstats.com/fight-details/20868a67bea63129,Vicente Luque
http://ufcstats.com/fight-details/5b49c3d36907c6df,Charles Radtke
http://ufcstats.com/fight-details/d69bd8e53ec858dc,Renato Moicano
http://ufcstats.com/fight-details/721642e7de112e9e,Virna Jandiroba
http://ufcstats.com/fight-details/ad487d1c6141d90a,Abdul Rakhman Yakhyaev
http://ufcstats.com/fight-details/fef80c98b2fba70c,Ethyn Ewing
http://ufcstats.com/fight-details/c27bec45d5a29a2c,Tommy McMillen
http://ufcstats.com/fight-details/7924f10aac3543de,Jose Delano
http://ufcstats.com/fight-details/0760bc02280574dd,Thomas Petersen
http://ufcstats.com/fight-details/af2a9d47ca8115e4,Alessandro Costa
http://ufcstats.com/fight-details/9c9c26679701b84d,Darrius Flowers
http://ufcstats.com/fight-details/74bb036ef0493bf7,Alice Pereira
http://ufcstats.com/fight-details/e284a194fb4648a9,Tresean Gore
http://ufcstats.com/fight-details/caf13346cbcfdb03,Dione Barbosa
http://ufcstats.com/fight-details/a5a749aa0061fdb4,Kai Kamaka III
http://ufcstats.com/fight-details/85e94a6c071fd9fa,Joe Pyfer
http://ufcstats.com/fight-details/9a0ecee6e8ca173f,Alexa Grasso
http://ufcstats.com/fight-details/6102e7a6dcbc62f0,Michael Chiesa
http://ufcstats.com/fight-details/f9f5071b993a5f4b,Lerryan Douglas
http://ufcstats.com/fight-details/e32dc26b11d1f81d,Yousri Belgaroui
http://ufcstats.com/fight-details/a76e14495e61cf19,Terrance McKinney
http://ufcstats.com/fight-details/fa96d6252579b51e,Tofiq Musayev
http://ufcstats.com/fight-details/689384b01b40ef5c,Lance Gibson Jr.
http://ufcstats.com/fight-details/08d4e3864c44f8a5,Tyrell Fortune
http://ufcstats.com/fight-details/1c50e43770ba84fc,Casey O'Neill
http://ufcstats.com/fight-details/dbf1ee1a1912c735,Navajo Stirling
http://ufcstats.com/fight-details/a997593977ba8cad,
http://ufcstats.com/fight-details/796e1151896195aa,Alexia Thainara
http://ufcstats.com/fight-details/346e3897c2ead99a,Movsar Evloev
http://ufcstats.com/fight-details/fa534aaa5b997a69,Luke Riley
http://ufcstats.com/fight-details/5ee11b727e89e8ad,Michael Page
