id,main_card,event_year,event_day,country_encoded,month_encoded,city_encoded,region_encoded
1,True,1994,11,0,3,0,0
2,True,1994,9,0,9,1,1
3,True,1994,16,0,12,2,2
4,True,1995,7,0,4,1,1
5,True,1995,14,0,7,3,3
6,True,1995,8,0,9,4,4
7,True,1995,16,0,12,0,0
8,True,1996,16,1,2,5,5
9,True,1996,17,0,5,6,6
10,True,1996,12,0,7,7,7
11,True,1996,20,0,9,8,8
12,True,1996,7,0,12,7,7
13,True,1997,7,0,2,9,7
14,True,1997,30,0,5,8,8
15,True,1997,27,0,7,7,7
16,True,1997,17,0,10,10,9
17,True,1997,21,2,12,11,10
18,True,1998,13,0,3,12,11
19,True,1998,15,0,5,13,7
20,True,1998,16,3,10,14,5
21,True,1999,8,0,1,12,11
22,True,1999,5,0,3,10,9
23,True,1999,7,0,5,7,7
24,True,1999,16,0,7,15,12
25,True,1999,24,0,9,16,11
26,True,1999,19,2,11,17,5
27,True,2000,10,0,3,16,11
28,True,2000,14,2,4,18,5
29,True,2000,9,0,6,15,12
30,True,2000,22,0,9,12,11
31,True,2000,17,0,11,19,13
32,True,2000,16,2,12,18,5
33,True,2001,23,0,2,19,13
34,True,2001,4,0,5,19,13
35,True,2001,29,0,6,20,13
36,True,2001,28,0,9,21,14
37,True,2001,2,0,11,21,14
38,True,2002,11,0,1,22,15
39,True,2002,22,0,3,21,14
40,True,2002,10,0,5,23,11
41,True,2002,22,0,6,21,14
42,True,2002,13,4,7,24,16
43,True,2002,27,0,9,22,15
44,True,2002,22,0,11,21,14
45,True,2003,28,0,2,19,13
46,True,2003,25,0,4,25,17
47,True,2003,6,0,6,21,14
48,True,2003,26,0,9,21,14
49,True,2003,21,0,11,22,15
50,True,2004,31,0,1,21,14
51,True,2004,2,0,4,21,14
52,True,2004,19,0,6,21,14
53,True,2004,21,0,8,21,14
54,True,2004,22,0,10,19,13
55,True,2005,5,0,2,21,14
56,True,2005,9,0,4,21,14
57,True,2005,16,0,4,21,14
58,True,2005,4,0,6,19,13
59,False,2005,6,0,8,21,14
60,True,2005,20,0,8,21,14
61,False,2005,3,0,10,21,14
62,True,2005,7,0,10,22,15
63,True,2005,5,0,11,21,14
64,True,2005,19,0,11,21,14
65,False,2006,16,0,1,21,14
66,True,2006,4,0,2,21,14
67,True,2006,4,0,3,21,14
68,False,2006,6,0,4,21,14
69,True,2006,15,0,4,26,18
70,True,2006,27,0,5,27,18
71,True,2006,24,0,6,21,14
72,False,2006,28,0,6,21,14
73,True,2006,8,0,7,21,14
74,False,2006,17,0,8,21,14
75,True,2006,26,0,8,21,14
76,True,2006,23,0,9,26,18
77,True,2006,10,0,10,28,17
78,True,2006,14,0,10,21,14
79,True,2006,11,0,11,21,14
80,True,2006,18,0,11,29,18
81,False,2006,13,0,12,30,18
82,True,2006,30,0,12,21,14
83,False,2007,25,0,1,28,17
84,True,2007,3,0,2,21,14
85,True,2007,3,0,3,31,19
86,False,2007,5,0,4,21,14
87,True,2007,7,0,4,32,20
88,True,2007,21,4,4,33,16
89,True,2007,26,0,5,21,14
90,False,2007,12,0,6,28,17
91,True,2007,16,4,6,34,21
92,True,2007,23,0,6,21,14
93,True,2007,7,0,7,29,18
94,True,2007,25,0,8,21,14
95,True,2007,8,4,9,24,16
96,False,2007,19,0,9,21,14
97,True,2007,22,0,9,26,18
98,True,2007,20,0,10,35,19
99,True,2007,17,0,11,36,13
100,True,2007,8,0,12,21,14
101,True,2007,29,0,12,21,14
102,True,2008,19,4,1,37,16
103,False,2008,23,0,1,21,14
104,True,2008,2,0,2,21,14
105,True,2008,1,0,3,31,19
106,False,2008,2,0,4,38,0
107,True,2008,19,5,4,39,22
108,True,2008,24,0,5,21,14
109,True,2008,7,4,6,24,16
110,True,2008,21,0,6,21,14
111,True,2008,5,0,7,21,14
112,True,2008,19,0,7,21,14
113,True,2008,9,0,8,40,23
114,True,2008,6,0,9,41,8
115,False,2008,17,0,9,42,24
116,True,2008,18,4,10,7,16
117,True,2008,25,0,10,43,25
118,True,2008,15,0,11,21,14
119,False,2008,10,0,12,44,1
120,True,2008,13,0,12,21,14
121,True,2008,27,0,12,21,14
122,True,2009,17,6,1,45,26
123,True,2009,31,0,1,21,14
124,False,2009,7,0,2,46,17
125,True,2009,21,4,2,24,16
126,True,2009,7,0,3,31,19
127,False,2009,1,0,4,47,27
128,True,2009,18,5,4,39,22
129,True,2009,23,0,5,21,14
130,True,2009,13,7,6,48,28
131,True,2009,20,0,6,21,14
132,True,2009,11,0,7,21,14
133,True,2009,8,0,8,49,29
134,True,2009,29,0,8,50,30
135,False,2009,16,0,9,51,2
136,True,2009,19,0,9,52,20
137,True,2009,24,0,10,27,18
138,True,2009,14,4,11,33,16
139,True,2009,21,0,11,21,14
140,True,2009,5,0,12,21,14
141,True,2009,12,0,12,53,27
142,True,2010,2,0,1,21,14
143,False,2010,11,0,1,54,31
144,True,2010,6,0,2,21,14
145,True,2010,20,8,2,55,32
146,True,2010,21,0,3,38,0
147,True,2010,27,0,3,36,13
148,False,2010,31,0,3,1,1
149,True,2010,10,9,4,56,5
150,True,2010,8,5,5,39,22
151,True,2010,29,0,5,21,14
152,True,2010,12,5,6,57,33
153,True,2010,19,0,6,21,14
154,True,2010,3,0,7,21,14
155,True,2010,1,0,8,30,18
156,True,2010,7,0,8,58,18
157,True,2010,28,0,8,59,34
158,False,2010,15,0,9,60,20
159,True,2010,25,0,9,61,35
160,True,2010,16,4,10,24,16
161,True,2010,23,0,10,26,18
162,True,2010,13,7,11,62,28
163,True,2010,20,0,11,63,6
164,True,2010,4,0,12,21,14
165,True,2010,11,5,12,39,22
166,True,2011,1,0,1,21,14
167,False,2011,22,0,1,64,20
168,True,2011,5,0,2,21,14
169,True,2011,26,8,2,55,32
170,True,2011,3,0,3,65,36
171,True,2011,19,0,3,36,13
172,False,2011,26,0,3,66,37
173,True,2011,30,5,4,67,38
174,True,2011,28,0,5,21,14
175,True,2011,4,0,6,21,14
176,True,2011,11,5,6,57,33
177,True,2011,26,0,6,68,29
178,True,2011,2,0,7,21,14
179,True,2011,6,0,8,49,29
180,True,2011,14,0,8,69,39
181,True,2011,27,3,8,70,5
182,False,2011,17,0,9,12,11
183,True,2011,24,0,9,0,0
184,True,2011,1,0,10,71,40
185,True,2011,8,0,10,32,20
186,True,2011,29,0,10,21,14
187,True,2011,5,4,11,7,16
188,True,2011,12,0,11,26,18
189,True,2011,19,0,11,72,18
190,True,2011,3,0,12,21,14
191,True,2011,10,5,12,67,38
192,True,2011,30,0,12,21,14
193,True,2012,14,3,1,70,5
194,True,2012,20,0,1,47,27
195,True,2012,28,0,1,73,25
196,True,2012,4,0,2,21,14
197,True,2012,15,0,2,42,24
198,True,2012,25,2,2,74,5
199,True,2012,2,8,3,55,32
200,True,2012,14,10,4,75,5
201,True,2012,21,0,4,41,8
202,True,2012,5,0,5,20,13
203,True,2012,15,0,5,54,31
204,True,2012,26,0,5,21,14
205,True,2012,1,0,6,21,14
206,True,2012,8,0,6,76,17
207,True,2012,22,0,6,19,13
208,True,2012,23,3,6,77,41
209,True,2012,7,0,7,21,14
210,True,2012,11,0,7,72,18
211,True,2012,21,5,7,78,42
212,True,2012,4,0,8,27,18
213,True,2012,11,0,8,0,0
214,True,2012,22,5,9,67,38
215,True,2012,29,4,9,79,16
216,True,2012,5,0,10,40,23
217,True,2012,13,3,10,70,5
218,True,2012,10,11,11,80,5
219,True,2012,17,5,11,39,22
220,True,2012,8,0,12,66,37
221,True,2012,14,8,12,81,43
222,True,2012,15,0,12,21,14
223,True,2012,29,0,12,21,14
224,True,2013,19,3,1,14,5
225,True,2013,26,0,1,73,25
226,True,2013,2,0,2,21,14
227,True,2013,16,4,2,24,16
228,True,2013,23,0,2,26,18
229,True,2013,2,2,3,74,5
230,True,2013,16,5,3,39,22
231,True,2013,6,10,4,75,5
232,True,2013,13,0,4,21,14
233,True,2013,20,0,4,72,18
234,True,2013,27,0,4,36,13
235,True,2013,18,3,5,82,44
236,True,2013,25,0,5,21,14
237,True,2013,8,3,6,83,45
238,True,2013,15,5,6,84,46
239,True,2013,6,0,7,21,14
240,True,2013,27,0,7,66,37
241,True,2013,3,3,8,70,5
242,False,2013,17,0,8,59,34
243,False,2013,28,0,8,61,35
244,True,2013,31,0,8,69,39
245,False,2013,4,3,9,77,41
246,True,2013,21,5,9,67,38
247,False,2013,9,3,10,85,47
248,True,2013,19,0,10,32,20
249,False,2013,26,4,10,33,16
250,False,2013,6,0,11,86,36
251,False,2013,9,3,11,87,48
252,True,2013,16,0,11,21,14
253,True,2013,30,0,11,21,14
254,False,2013,6,8,12,88,43
255,True,2013,14,0,12,29,18
256,True,2013,28,0,12,21,14
257,False,2014,4,12,1,89,5
258,False,2014,15,0,1,90,8
259,True,2014,25,0,1,73,25
260,True,2014,1,0,2,36,13
261,False,2014,15,3,2,82,44
262,True,2014,22,0,2,21,14
263,False,2014,1,11,3,80,5
264,False,2014,8,4,3,24,16
265,True,2014,15,0,3,52,20
266,False,2014,23,3,3,91,49
267,False,2014,11,9,4,56,5
268,False,2014,16,5,4,92,22
269,True,2014,19,0,4,93,17
270,True,2014,26,0,4,94,50
271,False,2014,10,0,5,35,19
272,True,2014,24,0,5,21,14
273,False,2014,31,7,5,95,5
274,False,2014,31,3,5,14,5
275,False,2014,7,0,6,96,51
276,True,2014,14,5,6,57,33
277,False,2014,28,13,6,97,5
278,False,2014,28,0,6,98,20
279,True,2014,5,0,7,21,14
280,True,2014,6,0,7,21,14
281,False,2014,16,0,7,19,13
282,False,2014,19,6,7,45,26
