wins,losses,draws,SLpM,SApM,TD Avg.,Sub. Avg.,ID,height,weight_kg,Str. Acc._total,Str. Def_total,TD Acc._total,TD Def._total,reach_cm,stance,age
0,2,0,0.0,0.0,0.0,0.0,1,182.88,79.38,0.0,0.0,0.0,0.0,180.34,0,50
0,1,0,0.0,0.0,0.0,0.0,2,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
1,3,0,0.0,0.0,0.0,0.0,3,195.58,124.74,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,4,190.5,95.25,0.0,0.0,0.0,0.0,180.34,0,26
1,0,0,0.0,0.0,0.0,0.0,5,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,6,187.96,111.13,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,7,172.72,107.95,0.0,0.0,0.0,0.0,180.34,0,26
1,1,0,0.0,0.0,0.0,0.0,8,182.88,95.25,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,9,170.18,80.74,0.0,0.0,0.0,0.0,180.34,1,57
2,1,0,0.0,0.0,0.0,0.0,10,177.8,95.25,0.0,0.0,0.0,0.0,180.34,1,26
1,1,0,0.0,0.0,0.0,0.0,11,182.88,81.65,0.0,0.0,0.0,0.0,180.34,2,70
1,5,0,0.0,0.0,0.0,0.0,12,177.8,77.11,0.0,0.0,0.0,0.0,180.34,2,60
2,1,0,0.0,0.0,0.0,0.0,13,182.88,95.25,0.0,0.0,0.0,0.0,180.34,1,26
1,2,0,0.0,0.0,0.0,0.0,14,203.2,349.27,0.0,0.0,0.0,0.0,180.34,3,65
0,1,0,0.0,0.0,0.0,0.0,15,175.26,92.99,0.0,0.0,0.0,0.0,180.34,1,26
2,7,0,0.0,0.0,0.0,0.0,16,175.26,79.38,0.0,0.0,0.0,0.0,180.34,1,26
4,5,0,0.0,0.0,0.0,0.0,17,185.42,104.33,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,18,177.8,86.18,0.0,0.0,0.0,0.0,180.34,1,83
0,4,0,0.0,0.0,0.0,0.0,19,162.56,107.05,0.0,0.0,0.0,0.0,180.34,1,55
0,1,0,0.0,0.0,0.0,0.0,20,182.88,102.06,0.0,0.0,0.0,0.0,180.34,1,56
1,3,0,0.0,0.0,0.0,0.0,21,185.42,97.52,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,22,177.8,102.06,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,23,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,24,167.64,108.86,0.0,0.0,0.0,0.0,180.34,0,51
1,1,0,0.0,0.0,0.0,0.0,25,200.66,133.81,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,26,180.34,90.26,0.0,0.0,0.0,0.0,180.34,1,26
11,9,0,0.0,0.0,0.0,0.0,27,177.8,87.54,0.0,0.0,0.0,0.0,180.34,2,56
1,4,0,0.0,0.0,0.0,0.0,28,187.96,181.44,0.0,0.0,0.0,0.0,180.34,1,26
0,3,0,0.0,0.0,0.0,0.0,29,177.8,88.45,0.0,0.0,0.0,0.0,180.34,1,53
20,17,0,0.0,0.0,0.0,0.0,30,187.96,102.06,0.0,0.0,0.0,0.0,180.34,1,62
26,18,0,0.0,0.0,0.0,0.0,31,175.26,83.91,0.0,0.0,0.0,0.0,180.34,4,57
1,3,0,0.0,0.0,0.0,0.0,32,182.88,90.72,0.0,0.0,0.0,0.0,180.34,0,26
4,6,0,0.0,0.0,0.0,0.0,33,193.04,111.13,0.0,0.0,0.0,0.0,180.34,0,60
1,4,0,0.0,0.0,0.0,0.0,34,203.2,122.47,0.0,0.0,0.0,0.0,180.34,1,26
1,3,0,0.0,0.0,0.0,0.0,35,187.96,108.86,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,36,190.5,106.59,0.0,0.0,0.0,0.0,180.34,2,26
0,2,0,0.0,0.0,0.0,0.0,37,187.96,108.86,0.0,0.0,0.0,0.0,180.34,1,26
9,6,0,0.0,0.0,0.0,0.0,38,190.5,117.93,0.0,0.0,0.0,0.0,180.34,2,57
2,3,0,0.0,0.0,0.0,0.0,39,177.8,97.52,0.0,0.0,0.0,0.0,180.34,1,62
2,2,0,0.0,0.0,0.0,0.0,40,180.34,90.72,0.0,0.0,0.0,0.0,180.34,5,68
17,5,2,0.0,0.0,0.0,0.0,41,182.88,95.25,0.0,0.0,0.0,0.0,180.34,1,58
0,1,0,0.0,0.0,0.0,0.0,42,185.42,185.97,0.0,0.0,0.0,0.0,180.34,5,26
1,1,0,0.0,0.0,0.0,0.0,43,177.8,83.91,0.0,0.0,0.0,0.0,180.34,1,62
1,1,0,0.0,0.0,0.0,0.0,44,180.34,104.33,0.0,0.0,0.0,0.0,180.34,0,26
4,11,0,0.0,0.0,0.0,0.0,45,195.58,113.4,0.0,0.0,0.0,0.0,180.34,1,26
14,8,1,0.0,0.0,0.0,0.0,46,187.96,104.33,0.0,0.0,0.0,0.0,180.34,2,54
2,1,1,0.0,0.0,0.0,0.0,47,203.2,111.13,0.0,0.0,0.0,0.0,180.34,1,26
1,1,0,0.0,0.0,0.0,0.0,48,175.26,90.72,0.0,0.0,0.0,0.0,180.34,1,65
1,2,0,0.0,0.0,0.0,0.0,49,200.66,158.76,0.0,0.0,0.0,0.0,180.34,2,62
0,3,0,0.0,0.0,0.0,0.0,50,175.26,90.72,0.0,0.0,0.0,0.0,180.34,0,26
4,9,0,0.0,0.0,0.0,0.0,51,185.42,90.72,0.0,0.0,0.0,0.0,180.34,0,26
0,1,0,0.0,0.0,0.0,0.0,52,193.04,106.59,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,53,175.26,106.59,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,54,190.5,136.08,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,55,180.34,92.99,0.0,0.0,0.0,0.0,180.34,1,26
7,20,2,0.0,0.0,0.0,0.0,56,190.5,102.06,0.0,0.0,0.0,0.0,180.34,1,61
3,2,0,0.0,0.0,0.0,0.0,57,182.88,92.99,0.0,0.0,0.0,0.0,180.34,1,56
13,10,0,0.0,0.0,0.0,0.0,58,180.34,104.33,0.0,0.0,0.0,0.0,180.34,1,62
9,9,0,0.0,0.0,0.0,0.0,59,203.2,136.08,0.0,0.0,0.0,0.0,180.34,1,56
5,6,0,0.0,0.0,0.0,0.0,60,182.88,86.18,0.0,0.0,0.0,0.0,180.34,1,65
2,1,0,0.0,0.0,0.0,0.0,61,182.88,108.86,0.0,0.0,0.0,0.0,180.34,1,26
20,9,0,2.87,3.57,0.91,0.7,62,185.42,99.34,0.64,0.37,0.57,0.45,180.34,1,60
0,2,0,0.0,0.0,0.0,0.0,63,182.88,90.26,0.0,0.0,0.0,0.0,180.34,1,26
9,3,0,0.92,0.83,1.85,0.5,64,170.18,92.99,0.31,0.44,0.28,0.0,180.34,1,58
30,27,0,2.26,6.47,0.0,2.3,65,180.34,90.26,0.51,0.44,0.0,0.66,180.34,2,57
0,2,0,0.0,0.0,0.0,0.0,66,185.42,97.52,0.0,0.0,0.0,0.0,180.34,2,26
1,1,0,0.0,0.0,0.0,0.0,67,175.26,86.18,0.0,0.0,0.0,0.0,180.34,0,63
4,2,0,0.0,0.0,0.0,0.0,68,180.34,146.51,0.0,0.0,0.0,0.0,180.34,1,61
0,1,0,0.0,0.0,0.0,0.0,69,177.8,85.28,0.0,0.0,0.0,0.0,180.34,1,26
0,1,0,0.0,0.0,0.0,0.0,70,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
2,6,0,0.0,0.0,0.0,0.0,71,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
3,4,0,0.0,0.0,0.0,0.0,72,182.88,90.72,0.0,0.0,0.0,0.0,180.34,2,26
